id,firstName,lastName,team_name,market_value,agent,agent_id,contract_expiry
1218350,Cho Dong-In,Cho Dong-In,Marialvas,-,,,-
947976,Álex Octavio,Herman Gálvez,Alianza, ¬125k,,,31-Dec-25
1160572,Olivier Kamil,Warzybok,Reims U19,-,,,30-Jun-27
997111,Chemssedine,Douah,Lens U15,-,,,-
1176245,Daniel,Severin Smith,Ullern,-,,,-
1172898,Tico,Pantel,Energie Cottbus U17,-,,,-
1132467,Sahar,Lavi,Maccabi Tel Aviv U19,-,,,-
641510,Allan,Allan Luthardt,Rumelange,-,,,-
1182997,Alexander,Medvedev,Nõmme United U21,-,,,31-Dec-25
1167780,Antoni,Kapusta,Polonia Warszawa,-,Agent is known - Player under 18,,-
1180283,Alans,Stepanovs,,-,,,-
1165532,Kristaps,Zvilna,,-,,,-
1165968,Emiliano,Muñoz Meade,Atlético de San Luis U19,-,,,-
1165514,Hugo,Vilkins,Latvia U16,-,,,-
1165533,Denis,Ignatjevs,,-,,,-
1160996,Maj,Zavodnik,NK Krka U17,-,,,-
832331,Rasmus,Blæsild,,-,,,-
1163805,Ethan,Bernadac,Ajaccio U19,-,,,-
1079097,Gagik,Galstyan,Ararat II,-,,,-
1024836,Furkan,P1narba_1,,-,,,-
587071,Haukur Steinn,Ragnarsson,Úlfarnir,-,,,-
1164992,Eetu,Keskitalo,JS Hercules,-,,,-
1032982,Cesare,Castellaro,,-,,,-
1033622,Michael,Sarkis,,-,,,30-Jun-25
1033621,Daddy,Naranjo Barrera,Pro Dronero,-,,,-
825631,Kalum,Thompson,Nottingham Forest U18,-,,,31-May-25
893307,Salem Abdullah,Al-Maqadi,Al Wehda, ¬100k,NAT,12994,30-Jun-25
1013912,Mario,Omozee,Shelbourne II,-,,,-
1210291,Robert,Rachwal,Celtic Reserve,-,,,-
1159086,Artiol,Duraku,Erzeni Shijak, ¬25k,,,-
1188436,Furkon,Rakhimzoda,,-,,,-
1270432,Asadbek,Makhtumov,Eskhata, ¬50k,,,31-Dec-25
1167830,Shion,Shinkawa,Sagan Tosu,-,,,-
1163744,Mayron,Condojanopoulos,Colomiers US U19,-,,,30-Jun-25
1163745,Adrien,Nzinga,,-,,,-
1255005,Mustafa Said ,Ayd1n,Hatayspor,-,,,-
932324,Spencer,Hand,North Geelong Warriors,-,,,-
1026150,Gabriel,Becerra Sevilla,San Juan FC,-,,,-
1243679,Matej,Tadic,Maribor U19,-,,,-
1159490,Alan,Kelly,Clydebank,-,,,31-May-26
753220,Carlos Eduardo,Bezerra da Silva,,-,,,-
1290097,Stephen,Reid,Warrenpoint Town,-,,,30-Jun-26
814378,Manea,Panisello,Fabrègues,-,,,-
1233361,Reece,Mitchell,Halesowen Town,-,,,-
1018095,Julian,Chichon,,-,,,30-Jun-25
625480,Matteo,Borghini,, ¬10k,,,30-Jun-25
1148594,Chanpreet,Singh,Namdhari,-,,,-
965814,Strahinja,Djuri,,,,,
i,Grbalj,-,,,-,,
1178886,Julien,Grégoire,Trouville Deauville,-,,,-
1290151,Jack,McCosh,Knockbreda,-,,,30-Jun-25
708345,Javier,Ezquerro Ezquerro,Pradejón,-,,,-
1174461,Aleksandar,Pavlovic,FC Rotkreuz,-,Asmantra Sports,6635,30-Jun-25
1195417,Jeong-Yeon  ,Wu,Cheonan City, ¬50k,,,31-Dec-25
1169511,Eun-gyul,Eo,Cheonan City,-,,,-
